#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
003F,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,3,8,123,,1,1,1,1,1,1,0,1,0,,0:10:52,0:07:28,0:09:29,0:21:45,0:41:35,0:32:25,0:49:52,0:49:55,0:49:58,
006E,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2-Jan,301833,25/4,8,24,1030301/2,1,1,1,1,0,1,0,1,0,1,0:01:02,0:09:22,0:10:46,0:26:52,0:49:58,0:39:32,0:42:44,0:12:02,0:49:53,0:13:03
023A,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,(4sqrt(30))/5,8,96,1030301/2,1,1,1,1,1,1,1,1,0,1,0:02:42,0:03:55,0:07:40,0:11:08,0:17:07,0:25:22,0:48:06,0:27:42,0:49:01,0:37:01
023C,7,4/14/2024 13:05,12,25-Feb,729,832/2499,2,301833,(4sqrt(30))/5,8,,,1,1,0,1,1,1,1,1,,,0:01:23,0:02:59,0:05:50,0:35:26,0:17:46,0:14:50,0:46:14,0:29:10,,
023H,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,,8,29,1030301/2,1,1,1,1,1,1,,1,1,1,0:01:38,0:05:35,0:07:11,0:10:55,0:14:55,0:28:25,0:27:40,0:25:33,0:35:24,0:36:52
025F,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,5,8,31,1030301/2,1,1,1,1,1,1,0,1,0,1,0:03:54,0:18:40,0:07:23,0:10:15,0:40:34,0:32:44,0:47:27,0:26:12,0:49:00,0:49:12
026D,9,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,4/5*sqrt(30),8,28,515150.5,1,1,1,1,1,1,1,1,0,1,0:42:52,0:06:46,0:15:03,0:17:01,0:20:28,0:26:17,0:27:08,0:46:46,0:43:55,0:44:55
026E,7,4/14/2024 13:13,6,25-Feb,-378,832/2499,2,301833,4sqrt30/5,8,28,515150.5,0,1,0,1,1,1,1,1,0,1,0:32:29,0:08:59,0:30:41,0:18:35,0:27:23,0:30:06,0:29:42,0:43:57,0:35:18,0:41:49
033B,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,12sqrt(26)/13,4,29,515150.5,1,1,1,1,1,1,0,0,1,1,0:11:56,0:21:06,0:06:29,0:21:06,0:21:06,0:21:06,0:21:06,0:33:20,0:21:06,0:21:07
033E,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,25/576,8,93,5050,1,1,1,1,1,1,0,1,0,0,0:38:06,0:02:17,0:06:06,0:44:45,0:13:24,0:46:53,0:16:56,0:19:30,0:37:04,0:49:43
033G,7,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,,8,,,1,1,1,1,1,1,,1,,,0:13:09,0:13:15,0:13:08,0:17:11,0:46:08,0:25:20,0:48:04,0:46:31,,0:43:34
033H,7,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,,8,,,1,1,1,1,1,1,,1,,,0:02:26,0:16:30,0:14:25,0:46:54,0:43:47,0:48:57,,0:49:01,,
034A,8,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,12sqrt26 / 13,4,29,1030301/2,1,1,1,1,1,1,0,0,1,1,0:17:35,0:20:37,0:20:41,0:09:13,0:09:16,0:09:23,0:13:52,0:48:45,0:14:36,0:25:09
034H,9,4/14/2024 13:05,12,5-Jun,378,832/2499,2,301833,(4sqrt{30})/5,8,29,1030301/2,1,0,1,1,1,1,1,1,1,1,0:01:10,0:02:25,0:03:50,0:06:43,0:35:26,0:36:46,0:11:02,0:13:30,0:37:26,0:23:45
057D,7,4/14/2024 13:04,12,25-Feb,378,832/2499,,301833,{4\sqrt30}/5,8,,,1,1,1,1,,1,1,1,,,0:04:00,0:17:49,0:34:09,0:08:59,0:39:10,0:25:14,0:41:21,0:38:25,0:47:32,
074A,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,1,0,1,1,0,1,0:03:17,0:37:48,0:07:50,0:08:18,0:46:42,0:07:48,0:38:05,0:38:08,0:38:11,0:15:11
074C,7,4/14/2024 13:04,12,25-Feb,378,832/2499,sqrt3/3,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,0,0,1,1,0,1,0:06:03,0:09:34,0:08:00,0:09:32,0:49:55,0:36:58,0:37:16,0:12:33,0:21:05,0:11:49
074D,7,4/14/2024 13:05,12,25-Feb,378,832/2499,-1,300833,(4sqrt30)/5,8,64,101^3/2,1,1,1,1,0,0,1,1,0,1,0:02:07,0:19:50,0:03:56,0:12:02,0:49:23,0:21:03,0:37:26,0:12:44,0:36:40,0:18:21
074F,7,4/14/2024 13:04,12,25-Feb,378,832/2499,1,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,0,0,1,1,0,1,0:04:35,0:09:20,0:07:08,0:09:09,0:38:06,0:19:19,0:38:01,0:12:27,0:42:50,0:43:11
074G,7,4/14/2024 13:04,12,25-Feb,378,832/2499,1,300383,(4sqrt(30))/5,8,64,1030301/2,1,1,1,1,0,0,1,1,0,1,0:01:32,0:20:32,0:03:57,0:20:56,0:49:03,0:24:02,0:37:21,0:13:29,0:21:02,0:16:19
074H,7,4/14/2024 13:04,12,25-Feb,378,832/2499,1,300833,(4sqrt(30))/5,8,64,\frac{1030301}{2},1,1,1,1,0,0,1,1,0,1,0:03:44,0:09:25,0:12:33,0:14:56,0:46:26,0:45:06,0:37:36,0:36:57,0:21:06,0:21:23
075A,8,4/14/2024 13:04,12,25-Feb,378,832/2499,sqrt6+sqrt2,301833,(4*sqrt30)/5,48,29,1030301/2,1,1,1,1,0,1,1,0,1,1,0:02:53,0:04:02,0:05:39,0:07:25,0:46:14,0:12:29,0:16:15,0:47:52,0:48:41,0:45:37
083B,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,sqrt(30)/3,8,16,201,1,1,1,1,1,1,0,1,0,0,0:03:32,0:04:26,0:06:24,0:08:24,0:09:34,0:49:20,0:47:28,0:19:40,0:42:29,0:48:39
103B,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,-24,8,,1030301/2,1,1,1,1,1,1,0,1,,1,0:09:02,0:15:06,0:09:46,0:15:15,0:20:37,0:29:35,0:34:31,0:48:07,,0:48:43
103D,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,-24,8,29,1030301,1,1,1,1,1,1,0,1,1,0,0:05:18,0:09:36,0:12:28,0:12:30,0:15:11,0:18:30,0:29:40,0:29:42,0:49:49,0:49:52
111F,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,300832,(4sqrt30)/5,8,512,200,1,1,1,1,1,0,1,1,0,0,0:01:23,0:39:16,0:41:26,0:16:06,0:19:51,0:23:03,0:45:01,0:49:16,0:49:58,0:49:24
114F,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,6,8,21,10201/2,1,1,1,1,1,1,0,1,0,0,0:34:01,0:35:37,0:11:46,0:13:48,0:15:43,0:44:01,0:20:54,0:24:14,0:26:42,0:41:15
116C,7,4/14/2024 13:04,12,25-Feb,378,832/2499,-2,301833,,8,,101^3/2,1,1,1,1,0,1,,1,,1,0:03:44,0:18:33,0:08:59,0:11:34,0:22:31,0:27:12,0:41:28,0:34:46,,0:49:52
117A,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,4\sqrt{30}/5,4,29,515150.5,1,1,1,1,1,1,1,0,1,1,0:05:28,0:46:53,0:33:44,0:47:14,0:47:19,0:47:24,0:47:29,0:48:17,0:40:39,0:24:44
126B,7,4/14/2024 13:07,12,25-Feb,378,832/2499,2,301833,4\sqrt{30}/5,4,,36001/2,1,1,1,1,1,1,1,0,,0,0:44:57,0:45:07,0:28:45,0:28:40,0:45:09,0:45:23,0:46:03,0:43:46,0:44:37,0:43:45
133H,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,(4sqrt30)/5,4,29,2^101,1,1,1,1,1,1,1,0,1,0,0:03:29,0:05:31,0:08:56,0:10:52,0:20:02,0:28:39,0:35:01,0:37:58,0:44:12,0:47:26
147B,7,4/14/2024 13:04,12,25-Feb,378,832/2499,-2,301833,,8,29,,1,1,1,1,0,1,,1,1,,0:02:23,0:06:23,0:11:20,0:16:07,0:22:29,0:24:56,0:35:18,0:44:14,0:40:32,
152D,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,(4sqrt(30))/5,4,64,1030301,1,1,1,1,1,1,1,0,0,0,0:01:38,0:02:49,0:04:39,0:13:49,0:28:03,0:46:17,0:35:21,0:42:52,0:48:56,0:48:29
165D,7,4/14/2024 13:04,12,25-Feb,729,832/2499,2,301833,5,8,,\frac{1030301}{2},1,1,0,1,1,1,0,1,,1,0:01:16,0:05:36,0:05:39,0:15:14,0:15:16,0:28:13,0:37:46,0:28:07,,0:48:17
167E,7,4/14/2024 13:04,12,0.08,378,832/2499,,301833,sqrt820,8,,515150.5,1,1,1,1,,1,0,1,,1,0:02:57,0:41:26,0:05:51,0:14:35,,0:20:32,0:34:48,0:24:04,,0:27:09
170C,9,4/14/2024 13:04,12,25-Feb,378,832/2499,2-Jan,301833,4sqrt30/5,8,29,515150.5,1,1,1,1,0,1,1,1,1,1,0:05:55,0:05:58,0:15:43,0:20:18,0:20:21,0:26:32,0:38:33,0:34:29,0:48:44,0:49:09
171E,8,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,5-Dec,8,29,,1,1,1,1,1,1,0,1,1,,0:03:21,0:04:15,0:11:12,0:13:25,0:18:24,0:21:56,0:49:06,0:42:06,0:33:35,
173C,7,4/14/2024 13:05,12,25-Feb,378,832/2499,2,301833,12,4,29,,1,1,1,1,1,1,0,0,1,,0:46:04,0:46:12,0:46:29,0:46:39,0:47:10,0:47:19,0:48:18,0:48:29,0:49:31,
177C,8,4/14/2024 13:05,12,25-Feb,378,832/2499,(xy)/(x-y),301833,4sqrt(30)/5,8,20,1030301/2,1,1,1,1,0,1,1,1,0,1,0:02:18,0:15:24,0:04:36,0:03:11,0:49:29,0:37:18,0:43:16,0:33:02,0:49:05,0:46:49
177G,7,4/14/2024 13:06,12,25-Feb,378,832/2499,2,301833,\frac{4\sqrt{30}}{5},4,8,1,1,1,1,1,1,1,1,0,0,0,0:05:10,0:16:00,0:13:06,0:25:52,0:46:30,0:26:36,0:46:06,0:46:34,0:46:47,0:46:49
197D,7,4/14/2024 13:04,12,25-Feb,378,832/2499,2,301833,-24,8,37,4,1,1,1,1,1,1,0,1,0,0,0:03:09,0:04:56,0:48:26,0:09:37,0:22:42,0:33:27,0:43:25,0:38:47,0:48:07,0:46:24
