id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,A1_freq,A2_freq,A3_freq,A4_freq,A5_freq,A6_freq,A7_freq,A8_freq,A9_freq,A10_freq,C1_0,C1_1,C1_2,C2_0,C2_1,C2_2,C3_0,C3_1,C3_2,C4_0,C4_1,C4_2,C5_0,C5_1,C5_2,C6_0,C6_1,C6_2,C7_0,C7_1,C7_2,C8_0,C8_1,C8_2,C9_0,C9_1,C9_2,C10_0,C10_1,C10_2
003F,12,25-Feb,378,832/2499,2,301833,3,8,123,,1,1,1,1,1,1,0,1,0,2,-0.04430116440264675,-0.9739802210931556,-0.9610910722356482,-0.79767102087318,0.14664666471119503,-0.49470937803100135,0.8649317279599616,1.0687043579383835,0.7933195023703896,0.7179500809455249,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.024193548387096774,0.32639791937581275,0.001652892561983471,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
006E,12,25-Feb,378,832/2499,2-Jan,301833,25/4,8,24,1030301/2,1,1,1,1,0,1,0,1,0,1,-0.7499471367642168,-0.860401536973072,-0.8698631964939492,-0.4344078974349348,0.8984365781456987,0.12260184136542407,0.17599484078693184,-1.9081250533603238,0.7844655118580842,-2.701103356480605,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.08842105263157894,0.32083333333333336,0.05,0.32639791937581275,0.01818181818181818,0.2495921696574225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
017C,12,25-Feb,378,832/2499,1/sin^2theta,300833,10,8,29,1,1,1,1,1,0,0,0,1,1,0,-0.7774553695850915,-1.2579269313933645,-1.264394139636621,-1.0224918464538528,-0.9070549038202662,0.8093063594293635,0.6524558655608029,-1.0031584351432508,0.30812082229605103,0.5111089249116191,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.002105263157894737,0.08384458077709611,0.0064516129032258064,0.32639791937581275,0.0706605222734255,0.10217391304347827,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
023A,12,25-Feb,378,832/2499,2,301833,(4sqrt(30))/5,8,96,1030301/2,1,1,1,1,1,1,1,1,0,1,-0.6303461244995439,-1.1861930256333117,-1.0902318314024686,-1.5514124203199624,-2.047443977280557,-1.1062378225384673,0.6943071717909403,-0.6770561371171276,0.6923840105301076,-0.48141990590779465,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0049586776859504135,0.2495921696574225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
023C,12,25-Feb,729,832/2499,2,301833,(4sqrt(30))/5,8,,,1,1,0,1,1,1,1,1,2,2,-0.6530703168298317,-1.182207808646642,-1.149470711754221,0.24478764931930871,-1.8994773740399686,-1.933174631659674,0.6106045593306656,-0.4832282651979862,0.5029086135667709,0.46480120341149095,0.5816554809843401,0.5522388059701493,0.1657754010695187,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
023G,12,25-Feb,378,17/23,2,301833,(4sqrt(30))/5,4,96,5,1,1,1,0,1,1,1,0,0,0,-0.7021067318583476,1.0674471803283467,-1.2134487025341139,0.6116005752667225,-0.09099666776611326,0.9770068312091886,-1.6928269489511234,-0.7621832430275614,0.2727048602468292,0.27648313597763635,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.0028011204481792717,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.5405405405405406,0.0049586776859504135,0.030434782608695653,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
023H,12,25-Feb,378,832/2499,2,301833,,8,29,1030301/2,1,1,1,1,1,1,2,1,1,1,-0.7068907723489345,-1.0865626009665719,-1.124590382006485,-1.5667948978596926,-2.244732781601341,-0.8416758713685706,-1.279142883522458,-0.8460007011547577,-0.754358039180603,-0.49531222235783307,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,1.0,0.32639791937581275,0.0706605222734255,0.2495921696574225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
025F,12,25-Feb,378,832/2499,2,301833,5,8,31,1030301/2,1,1,1,1,1,1,0,1,0,1,-0.5442333956689793,-0.30446376733266284,-1.1103730507220646,-1.6141255979819396,0.05547532332052958,-0.46724119730844377,0.6315302124457343,-0.7949244376084974,0.6906132124276464,0.6469449079786618,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.04838709677419355,0.32639791937581275,0.001652892561983471,0.2495921696574225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
025H,12,25-Feb,378,832/2499,2,4805334,12sqrt(5),8,25,25,1,1,1,1,1,0,0,1,0,0,-0.26556303709229157,-0.9520615276664728,-0.701624776294972,-0.2699337145101267,-0.9608609413622983,0.7615984665954476,0.7425971405180217,1.0045316165597489,0.5648865471529091,0.5157396970616319,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.002044989775051125,0.0016129032258064516,0.32639791937581275,0.008264462809917356,0.002173913043478261,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
026D,12,25-Feb,378,832/2499,2,301833,4/5*sqrt(30),8,28,515150.5,1,1,1,1,1,1,1,1,0,1,2.3237988784378762,-0.9560467446531424,-0.49428869506383805,-1.0627229415577628,-1.6573502051008244,-0.9399830444808819,-1.2340722460438487,0.8997597939007533,0.2567676773246794,0.3428575367944867,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.008264462809917356,0.2495921696574225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
