id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,A1_freq,A2_freq,A3_freq,A4_freq,A5_freq,A6_freq,A7_freq,A8_freq,A9_freq,A10_freq
001A,12,25-Feb,0,2320)/51!),2,2002560,(sqrt30)/270,3,6,10-Mar,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.48131535738847475,-0.7857701146903586,1.8766659494307725,1.1593807869098849,-0.11020484013820636,0.9335351814539419,-1.4603888764844966,0.8506208737611747,0.7196105868523154,0.6180793746288863,0.5816554809843401,0.5522388059701493,0.040106951871657755,0.0028011204481792717,0.2692307692307692,0.002044989775051125,0.0016129032258064516,0.055984555984555984,0.019834710743801654,0.002173913043478261
001F,12,25-Feb,126,832/2499,2,1789078,6,8,64,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5933895377157609,-0.17547157546076325,0.5806767810621195,-0.42977477334498926,0.7267507918954279,0.7934657724680341,0.5696455520632083,0.7228041803026869,0.8215977925104331,0.4606870025686582,0.5816554809843401,0.5522388059701493,0.00267379679144385,0.5175675675675676,0.2692307692307692,0.002044989775051125,0.18387096774193548,0.32639791937581275,0.09586776859504133,0.02826086956521739
002A,12,,378,3-Jan,,319467,-6.25,4,15,515150.5,1.0,,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,-0.5753130570178115,-0.3809286292975922,-0.4265125726282822,-0.16550803961133004,-0.606452869751069,1.0461683144529195,-0.504514397530538,-0.0036641692521872716,0.0883449518305176,-0.15868112822390604,0.5816554809843401,0.0,0.5646100116414435,0.08403361344537816,0.0,0.014314928425357873,0.0032258064516129032,0.5405405405405406,0.008264462809917356,0.2495921696574225
003B,12,25-Feb,729,832/2499,,300001,,4,,,1.0,1.0,0.0,1.0,,0.0,,0.0,,,-0.680156645065918,1.2647520088240034,0.67694338595487,-1.3363400258393805,0.13569716856548086,0.706824900930359,0.46574615217690846,1.0293033942082443,,,0.5816554809843401,0.5522388059701493,0.1657754010695187,0.5175675675675676,0.0,0.002044989775051125,0.0,0.5405405405405406,0.0,0.0
003F,12,25-Feb,378,832/2499,2,301833,3,8,123,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,-0.03663393221892012,-0.9396098791396098,-0.9487589041714534,-0.7449987696371567,0.19643200204048797,-0.44405467599509024,0.8957298224755955,1.1297307962113419,0.8303897929982019,,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.024193548387096774,0.32639791937581275,0.001652892561983471,0.0
004A,0,10,6,7,tantheta,250456,2-Mar,4,89,4pi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361280575089165,-1.2098415706392813,-0.39763259116045707,-0.9571231881946678,-2.090752946384169,-2.428130634207847,-1.554697562535138,-1.6639769322384619,-2.4367175882566734,-1.4294787989324143,0.05614973262032086,0.008333333333333333,0.0053475935828877,0.0028011204481792717,0.002105263157894737,0.002044989775051125,0.0032258064516129032,0.5405405405405406,0.001652892561983471,0.002173913043478261
004B,12,,378,832/2499,,,\frac{30+8\sqrt{3}+12sqrt{2}}{5sqrt{5}},8,128,515150.5,1.0,,1.0,1.0,,,0.0,1.0,0.0,1.0,-0.6247221042588732,,1.824922649300919,-0.8457282421365335,,,-0.40700880686801033,-2.001778193521608,-1.1812199186032928,-2.2834781510369853,0.5816554809843401,0.0,0.5646100116414435,0.5175675675675676,0.0,0.0,0.0016129032258064516,0.32639791937581275,0.03140495867768595,0.2495921696574225
004F,12,9,2431,7983,2-Jan,1699475,7,4,14,101pi^(1/2),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32706272209930676,1.3801318321609417,0.8706799283015303,0.972142473322808,0.9326566907497201,0.8555583970700344,0.6719464996435651,0.11632701236190326,0.5947641799259988,0.7128062652206902,0.5816554809843401,0.008333333333333333,0.00267379679144385,0.0028011204481792717,0.08842105263157894,0.002044989775051125,0.008064516129032258,0.5405405405405406,0.009917355371900827,0.002173913043478261
004G,2,5,414,,7sqrt3,602,4.9,16,4,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.7488472717181256,-0.12385428607318552,-0.12928943002191517,0.29310732341524437,-0.10872350273637692,0.4252420684329153,0.5328811490265176,0.9732205593233976,0.779396190169143,0.7346663168957219,0.27540106951871657,0.022222222222222223,0.008021390374331552,0.0,0.002105263157894737,0.006134969325153374,0.0016129032258064516,0.09266409266409266,0.02809917355371901,0.0
005B,4,0,5964,1579/89342,2-Jan,99667,6,4,110,2-Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7536676665709121,1.5683831228685783,0.33279027346328705,1.1001281560278986,0.7785976009594582,0.23752018010128625,-0.5396803482612855,0.9653950474790004,-3.1383192271806215,0.5947619861755191,0.21657754010695188,0.05,0.00267379679144385,0.0028011204481792717,0.08842105263157894,0.002044989775051125,0.18387096774193548,0.5405405405405406,0.003305785123966942,0.02826086956521739
