#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
054A,1,4/14/2024 14:01,0,{39pi}/60,2,{sqrt13}/13,,,,625/256,,,1,0,0,0,,,,0,,,0:01:34,0:41:33,0:44:13,0:47:41,0:30:38,0:40:31,0:32:33,0:26:37,0:39:06,0:26:43
259A,1,4/14/2024 14:07,0,,0,,♾️,♾️,♾️,♾️,♾️,,1,,0,,0,0,0,0,0,,0:00:54,0:00:57,0:01:08,,0:01:24,0:01:28,0:01:34,0:01:39,0:02:05,
275A,1,4/14/2024 14:00,0,0.4,0,,0,0.48,,16.3,1.21,1024,1,0,0,,0,0,,0,0,0,0:32:51,0:34:19,0:26:23,,0:26:39,0:46:50,0:43:21,0:16:36,0:26:03,0:26:45
249A,1,4/14/2024 13:04,0,3pi/10,0,(6-3*sqrt7)/(sqrt13-5),2pi,4,37,2sqrt2,3-Apr,12,1,0,0,0,0,0,0,0,0,0,0:00:50,0:04:14,0:26:34,0:29:40,0:45:12,0:45:16,0:45:24,0:46:05,0:46:21,0:48:18
270A,1,4/14/2024 14:00,0,4pi^2,0,,0,2-Jan,0,0,0,0,1,0,0,,0,0,0,0,0,0,0:11:13,0:29:53,0:30:20,0:33:19,0:43:36,0:43:43,0:43:44,0:43:46,0:43:49,0:43:49
078A,3,4/14/2024 13:04,0,3pi/10,4,(13+2sqrt13)/13,pi^2/4,12-Jan,sqrt2/9999,10,,,1,0,0,0,1,1,0,0,,,0:13:12,0:05:07,0:48:45,0:38:38,0:18:33,0:22:59,0:29:42,0:47:41,,
272A,0,4/14/2024 14:03,1,,,,,,,,,,0,,,,,,,,,,0:00:22,0:33:30,,,,,,,,
065A,1,4/14/2024 13:57,0,2.513,0,-2,0,1,−0.118,81/16,1.206,0,1,0,0,0,0,0,0,0,0,0,0:54:44,0:49:44,0:49:45,0:41:57,0:43:49,0:54:34,0:36:10,0:46:00,0:35:49,0:52:36
121A,1,4/14/2024 14:00,0,(4pi)/5,0,3,1,c,1,36/25,1,1,1,0,0,0,0,0,0,0,0,0,0:07:26,0:32:14,0:32:16,0:32:24,0:44:00,0:45:03,0:34:27,0:45:56,0:42:58,0:43:10
257A,0,4/14/2024 14:00,2-Jan,3/10pi,3,3,pi^2/2,,991/1000,6.64525,,2.5,0,0,0,0,0,,0,0,,0,0:49:38,0:49:49,0:41:55,0:39:19,0:16:42,0:27:21,0:49:59,0:26:40,0:29:40,0:49:55
314A,2,4/14/2024 13:04,0,3pi/10,5-Mar,-6,pi^2/4,pi/16,5000,14,(ln3)^2/4,2030,1,0,0,0,1,0,0,0,0,0,0:00:52,0:33:34,0:49:42,0:15:31,0:40:20,0:09:12,0:49:25,0:49:50,0:47:47,0:49:10
204A,1,4/14/2024 13:04,0,,0,,,,1/sqrt2,4.223,2-May,2,1,,0,,,,0,0,0,0,0:23:38,0:49:56,0:29:05,,0:16:59,0:31:37,0:48:47,0:48:44,0:45:56,0:39:33
008A,1,4/14/2024 14:00,0,(9pi)/70,4-Jan,-0.5,0,3-Jan,0,36/25,,,1,0,0,0,0,0,0,0,,,0:01:30,0:28:24,0:31:18,0:43:56,0:49:06,0:44:06,0:44:17,0:47:25,,
023A,6,4/14/2024 14:00,0,(4pi)/5+2,2-Jul,(13+sqrt(13))/13,,3-Jan,-(2sqrt(2))/(99979997),100,(ln(3))^2,13/2,1,0,1,1,,0,1,0,1,1,0:00:11,0:05:33,0:09:55,0:25:21,,0:48:25,0:36:08,0:49:56,0:44:27,0:47:11
197A,3,4/14/2024 13:04,0,0,4,0,1+pi^2/8,12-Jan,(2sqrt(2))/99979997,12,ln^2(3),,1,0,0,0,0,1,0,0,1,,0:01:30,0:49:52,0:11:57,0:49:48,0:48:22,0:33:56,0:12:12,0:49:54,0:37:27,0:48:51
022D,0,4/14/2024 13:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
