#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
164A,3,4/14/2024 13:04,100,4554,216,1/1680,54,24,257^247,,,,1,0,1,1,0,0,0,,,,0:00:28,0:06:26,0:09:41,0:22:50,0:31:53,0:49:52,0:49:35,,,
123A,5,4/14/2024 13:04,100,9108,216,1/1800,90,288,257,384,"(1,0)",4,1,1,1,0,0,1,0,1,0,0,0:02:03,0:24:14,0:29:18,0:49:12,0:27:05,0:25:25,0:44:17,0:31:46,0:47:41,0:37:17
075A,2,4/14/2024 14:00,781/7,9108,210,43/200000,,288,(257)^256,1012,666,8,0,1,0,0,,1,0,0,0,0,0:00:51,0:02:55,0:06:28,0:12:22,0:18:07,0:18:11,0:42:39,0:42:12,0:42:41,0:47:36
318A,1,4/14/2024 14:00,100,4554,,Jan-00,,1200,,,,,1,0,,0,,0,,,,,0:02:40,0:47:50,0:47:53,0:12:29,0:47:54,0:44:02,0:44:08,0:23:33,,
152A,1,4/14/2024 14:00,100,1,128,3-Jan,322/45,1080,128,474,"(3,5)",47,1,0,0,0,0,0,0,0,0,0,0:00:48,0:06:16,0:48:49,0:48:23,0:48:11,0:49:05,0:49:11,0:49:19,0:49:28,0:49:30
249A,0,4/14/2024 13:57,781/7,14300,8,11,76/21,54,24,332,452,32,0,0,0,0,0,0,0,0,0,0,0:44:59,0:52:45,0:27:32,0:43:55,0:52:59,0:54:32,0:29:52,0:54:35,0:54:37,0:56:53
282A,3,4/14/2024 14:00,100,9108,218,1/1680,,96,257^129,,,,1,1,0,1,,0,0,,,,0:00:32,0:06:42,0:09:18,0:26:36,0:38:26,0:43:27,0:33:55,,,0:42:59
123B,3,4/14/2024 14:00,100,9108,239,1/1800,1,288,257^257-1,432,36,64,1,1,0,0,0,1,0,0,0,0,0:00:09,0:06:27,0:43:13,0:42:03,0:49:12,0:47:20,0:25:50,0:40:19,0:49:19,0:47:35
292A,2,4/14/2024 14:00,100,1,25,Jan-60,144,25,25,384,25,25,1,0,0,0,0,0,0,1,0,0,0:06:50,0:06:53,0:49:42,0:17:12,0:33:34,0:37:55,0:37:09,0:42:11,0:37:12,0:37:16
204A,0,4/14/2024 13:58,1800,9096,8,1/210,2,1,65536,1536,928,4,0,0,0,0,0,0,0,0,0,0,0:58:28,0:59:37,0:59:58,0:15:02,0:54:32,0:31:35,0:44:50,0:49:43,0:28:58,0:24:55
177A,3,4/14/2024 13:04,100,9108,172,1/1260,5-Aug,,,,,,1,1,0,0,1,,,,,,0:02:05,0:10:07,0:44:52,0:33:14,0:47:54,,,0:03:08,,
292B,4,4/14/2024 13:04,100,9108,216,Jan-00,5-Aug,48,8,220,"(3, 2)",5,1,1,1,0,1,0,0,0,0,0,0:00:21,0:16:50,0:26:58,0:10:17,0:21:50,0:34:10,0:48:08,0:48:01,0:48:31,0:48:39
197A,6,4/14/2024 14:00,100,9108,240,Jan-50,5-Aug,288,257^248,384,"(3,16)",,1,1,0,0,1,1,1,1,0,,0:01:56,0:05:23,0:38:14,0:07:58,0:30:48,0:25:45,0:48:48,0:17:15,0:49:39,
006A,4,4/14/2024 13:04,100,16194,216,1/120,5-Aug,24,257^2,384,,4096,1,0,1,0,1,0,0,1,,0,0:00:17,0:49:25,0:19:43,0:49:39,0:07:58,0:09:13,0:49:47,0:14:50,,0:41:21
331A,2,4/14/2024 14:00,100,100008,216,1/300,49/4,1,8,243492,"(2,3/2)",16,1,0,1,0,0,0,0,0,0,0,0:00:31,0:04:54,0:25:40,0:31:48,0:49:31,0:45:34,0:48:37,0:49:44,0:49:14,0:48:40
