#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
164A,6,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),9-Aug,2sqrt(34),25/98,3arcsin(1) + (9sqrt(3))/28-3arcsin((3sqrt(21))/14),,,1,1,1,1,0,1,1,0,,,0:01:08,0:02:51,0:04:53,0:08:50,0:18:53,0:26:20,0:30:23,0:49:42,,
123A,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,3sqrt29,25/98,pi/2-3/4sqrt3,91,24/23,1,1,1,1,1,0,1,1,0,0,0:01:33,0:11:40,0:40:38,0:09:28,0:18:44,0:07:49,0:16:55,0:21:55,0:43:35,0:43:46
044A,3,4/14/2024 14:00,47,4sqrt3,sqrt7/14,2-May,1,2sqrt34,12,pi/2,12,12,1,0,1,0,0,1,0,0,0,0,0:02:16,0:05:07,0:14:42,0:48:49,0:33:28,0:40:09,0:48:51,0:44:48,0:48:54,0:48:54
276A,8,4/14/2024 14:03,47,6 - 2sqrt(3),sqrt(7) / 14,4sqrt(3),14-Nov,2sqrt(34),25/98,pi / 2 - (3sqrt(3)) / 4,,,1,1,1,1,1,1,1,1,,,0:01:41,0:03:54,0:39:16,0:42:45,0:20:54,0:47:13,0:36:36,0:24:11,,
349A,2,4/14/2024 14:01,47,6-2sqrt3,,,,,,,,,1,1,,,,,,,,,0:03:57,0:10:30,,,,,,,,
075B,8,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,pi/2-(3sqrt3)/4,sqrt201,(3sqrt3)/4,1,1,1,1,1,1,1,1,0,0,0:01:13,0:02:02,0:03:50,0:09:08,0:37:57,0:39:34,0:46:48,0:36:28,0:42:53,0:49:39
078A,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,6-Jul,2sqrt34,25/98,(2pi-3sqrt3)/4,,,1,1,1,0,0,1,1,1,,,0:01:39,0:07:39,0:17:29,0:22:30,0:49:43,0:32:53,0:40:41,0:45:08,,
273A,4,4/14/2024 14:00,47,6-2sqrt3,14-Jan,5sqrt3,7-May,3sqrt29,25/98,(2pi-3sqrt3)/4,18,sqrt3,1,1,0,0,0,0,1,1,0,0,0:01:18,0:05:37,0:16:04,0:14:53,0:48:20,0:22:37,0:16:47,0:35:00,0:47:57,0:47:59
243A,0,4/14/2024 14:04,,,,,,,,,,Geometry is Hard,,,,,,,,,,0,0:10:16,,,,,,,,,0:21:03
178A,2,4/14/2024 14:00,47,6-2sqrt3,sqrt7/2-3/sqrt7,2sqrt15,,,,,,,1,1,0,0,,,,,,,0:04:14,0:10:33,0:49:51,0:49:37,0:49:43,,,,,
187A,2,4/14/2024 14:00,47,6-2sqrt(3),sqrt(3)/4,2sqrt(15),24/25,7,3-Jan,(3pi)/16,13,sqrt(3)/2,1,1,0,0,0,0,0,0,0,0,0:05:55,0:14:59,0:37:11,0:38:33,0:37:21,0:39:15,0:46:39,0:46:58,0:48:22,0:49:41
314A,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,14/11,2sqrt34,25/98,3pi-3sqrt3/4,sqrt201,(6+2sqrt3)/9,1,1,1,0,0,1,1,0,0,1,0:00:35,0:01:52,0:03:29,0:39:56,0:09:25,0:45:06,0:19:51,0:28:25,0:43:31,0:37:13
177A,3,4/14/2024 14:00,49,6-2sqrt(3),sqrt(7)/14,4sqrt(3),9-May,51/4,(35sqrt(2) - 25)/73,(3pi)/8,,,0,1,1,1,0,0,0,0,,,0:03:53,0:06:10,0:11:00,0:16:45,0:46:51,0:49:26,0:36:38,0:48:23,,
292B,2,4/14/2024 14:00,47,6-2sqrt(3),\frac{sqrt7-sqrt3}4,9\sqrt3/4,4-May,17,35,6pi,17,143/144,1,1,0,0,0,0,0,0,0,0,0:02:53,0:05:23,0:46:27,0:47:20,0:46:38,0:47:25,0:47:30,0:47:51,0:47:55,0:48:03
133A,4,4/14/2024 14:00,47,6-2sqrt3,sqrt7 /14,(sqrt(495-244sqrt3)-sqrt3)/2,,2sqrt34,1:04,1/2 pi,,,1,1,1,0,,1,0,0,,,0:01:56,0:04:12,0:07:07,0:40:37,0:45:35,0:32:36,0:35:48,0:46:51,,
006A,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14/11,20sqrt3,25/98,pi/2-3sqrt3/4,14,,1,1,1,1,0,0,1,1,0,,0:01:40,0:02:49,0:04:26,0:26:28,0:45:37,0:45:57,0:18:44,0:23:59,0:45:46,
